"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06081","0","10","70","0","2024","4","",32196,412564,413654,413755,19269103171,239668987,7460628,3586,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1409,4.6,-8430,-2.0,-7789,-1.8,-8834,-2.1,262371515,1.4,-2140765,-0.9,297568,4.2,119,3.4
"06081","1","10","71","0","2024","4","",62,2510,2528,2542,70720206,0,0,2153,"",0.38,0.32,0.32,0.32,0.15,0.00,0.00,0.47,"",0,0.0,-9,-0.4,-8,-0.3,17,0.7,-622380,-0.9,0,0.0,0,0.0,-19,-0.9
"06081","1","102","72","0","2024","4","",62,2510,2528,2542,70720206,0,0,2153,"",0.39,0.32,0.32,0.32,0.15,0.00,0.00,0.47,"",0,0.0,-9,-0.4,-8,-0.3,17,0.7,-622380,-0.9,0,0.0,0,0.0,-19,-0.9
"06081","1","1021","73","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.36,0.60,0.61,0.61,0.30,0.00,0.00,0.49,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","1024","73","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.50,0.02,0.02,0.02,0.01,0.00,0.00,0.45,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","1025","73","0","2024","4","",2,929,934,937,30940381,0,0,2550,"",0.52,0.78,0.78,0.78,0.42,0.00,0.00,0.54,"",0,0.0,15,1.6,14,1.5,24,2.6,1517287,5.2,0,0.0,0,0.0,78,3.2
"06081","1","1027","73","0","2024","4","",1,9,9,11,182577,0,0,1453,"",2.31,0.67,0.67,0.82,0.30,0.00,0.00,0.41,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","1028","73","0","2024","4","",28,503,500,506,17391988,0,0,2660,"",0.43,0.11,0.11,0.11,0.06,0.00,0.00,0.53,"",0,0.0,-36,-6.7,-31,-5.8,-15,-2.9,-1303918,-7.0,0,0.0,0,0.0,-52,-1.9
"06081","1","48-49","74","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.37,0.65,0.66,0.66,0.33,0.00,0.00,0.49,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","491","75","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.37,0.67,0.68,0.68,0.34,0.00,0.00,0.51,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","4911","76","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.37,0.67,0.68,0.68,0.34,0.00,0.00,0.51,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","49111","77","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.37,0.67,0.68,0.68,0.34,0.00,0.00,0.51,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","491110","78","0","2024","4","",29,1065,1081,1084,22098780,0,0,1579,"",0.37,0.67,0.68,0.68,0.34,0.00,0.00,0.51,"",0,0.0,8,0.8,5,0.5,2,0.2,-915934,-4.0,0,0.0,0,0.0,-73,-4.4
"06081","1","54","74","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.56,0.02,0.02,0.02,0.01,0.00,0.00,0.45,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","541","75","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.56,0.02,0.02,0.02,0.01,0.00,0.00,0.45,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","5413","76","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.89,0.03,0.03,0.03,0.01,0.00,0.00,0.47,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","54133","77","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.91,0.03,0.03,0.03,0.01,0.00,0.00,0.47,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","541330","78","0","2024","4","",2,4,4,4,106480,0,0,2048,"",0.91,0.03,0.03,0.03,0.01,0.00,0.00,0.47,"",0,0.0,1,33.3,1,33.3,1,33.3,18307,20.8,0,0.0,0,0.0,-213,-9.4
"06081","1","62","74","0","2024","4","",2,929,934,937,30940381,0,0,2550,"",0.60,0.80,0.81,0.81,0.43,0.00,0.00,0.54,"",0,0.0,15,1.6,14,1.5,24,2.6,1517287,5.2,0,0.0,0,0.0,78,3.2
"06081","1","621","75","0","2024","4","",1,16,16,16,1418022,0,0,6817,"",0.82,0.15,0.15,0.15,0.21,0.00,0.00,1.42,"",0,0.0,-3,-15.8,-4,-20.0,-3,-15.8,-154467,-9.8,0,0.0,0,0.0,560,8.9
"06081","1","6211","76","0","2024","4","",1,16,16,16,1418022,0,0,6817,"",1.13,0.23,0.23,0.22,0.31,0.00,0.00,1.37,"",0,0.0,-3,-15.8,-4,-20.0,-3,-15.8,-154467,-9.8,0,0.0,0,0.0,560,8.9
"06081","1","62111","77","0","2024","4","",1,16,16,16,1418022,0,0,6817,"",1.13,0.23,0.23,0.22,0.31,0.00,0.00,1.37,"",0,0.0,-3,-15.8,-4,-20.0,-3,-15.8,-154467,-9.8,0,0.0,0,0.0,560,8.9
"06081","1","621111","78","0","2024","4","",1,16,16,16,1418022,0,0,6817,"",1.13,0.23,0.23,0.22,0.31,0.00,0.00,1.37,"",0,0.0,-3,-15.8,-4,-20.0,-3,-15.8,-154467,-9.8,0,0.0,0,0.0,560,8.9
"06081","1","622","75","0","2024","4","",1,913,918,921,29522359,0,0,2476,"",0.85,0.91,0.92,0.92,0.47,0.00,0.00,0.51,"",0,0.0,18,2.0,18,2.0,27,3.0,1671754,6.0,0,0.0,0,0.0,86,3.6
"06081","1","6221","76","0","2024","4","",1,913,918,921,29522359,0,0,2476,"",0.86,0.93,0.93,0.94,0.47,0.00,0.00,0.51,"",0,0.0,18,2.0,18,2.0,27,3.0,1671754,6.0,0,0.0,0,0.0,86,3.6
"06081","1","62211","77","0","2024","4","",1,913,918,921,29522359,0,0,2476,"",0.86,0.93,0.93,0.94,0.47,0.00,0.00,0.51,"",0,0.0,18,2.0,18,2.0,27,3.0,1671754,6.0,0,0.0,0,0.0,86,3.6
"06081","1","622110","78","0","2024","4","",1,913,918,921,29522359,0,0,2476,"",0.86,0.93,0.93,0.94,0.47,0.00,0.00,0.51,"",0,0.0,18,2.0,18,2.0,27,3.0,1671754,6.0,0,0.0,0,0.0,86,3.6
"06081","1","81","74","0","2024","4","",1,9,9,11,182577,0,0,1453,"",2.31,0.67,0.67,0.82,0.30,0.00,0.00,0.41,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","812","75","0","2024","4","",1,9,9,11,182577,0,0,1453,"",4.80,2.08,2.08,2.52,1.05,0.00,0.00,0.47,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","8122","76","0","2024","4","",1,9,9,11,182577,0,0,1453,"",5.26,2.10,2.11,2.56,1.06,0.00,0.00,0.47,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","81222","77","0","2024","4","",1,9,9,11,182577,0,0,1453,"",5.26,2.10,2.11,2.56,1.06,0.00,0.00,0.47,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","812220","78","0","2024","4","",1,9,9,11,182577,0,0,1453,"",5.26,2.10,2.11,2.56,1.06,0.00,0.00,0.47,"",0,0.0,3,50.0,3,50.0,5,83.3,61878,51.3,0,0.0,0,0.0,-94,-6.1
"06081","1","92","74","0","2024","4","",28,503,500,506,17391988,0,0,2660,"",0.43,0.11,0.11,0.11,0.06,0.00,0.00,0.53,"",0,0.0,-36,-6.7,-31,-5.8,-15,-2.9,-1303918,-7.0,0,0.0,0,0.0,-52,-1.9
"06081","1","921","75","0","2024","4","",4,99,98,100,3250563,0,0,2526,"",0.85,0.22,0.22,0.22,0.12,0.00,0.00,0.54,"",0,0.0,10,11.2,7,7.7,12,13.6,239717,8.0,0,0.0,0,0.0,-67,-2.6
"06081","1","9211","76","0","2024","4","",4,99,98,100,3250563,0,0,2526,"",0.85,0.22,0.22,0.22,0.12,0.00,0.00,0.54,"",0,0.0,10,11.2,7,7.7,12,13.6,239717,8.0,0,0.0,0,0.0,-67,-2.6
